check,module,consequence tier,a good finding looks like,a bad finding looks like,seconds to decide,first lever if creators say it is wrong
liquid.unparsed,engine (arithmetic),will break,"A personalisation tag was left unclosed and will reach subscribers as raw code where their name should be. Unambiguous, embarrassing, and invisible in every preview a creator would think to run.","Firing on a stray brace inside ordinary copy, or inside a code sample the creator is deliberately showing. Both read as us not understanding their writing.",10,Tighten what counts as a tag opening before touching severity.
liquid.unclosed_block,engine (arithmetic),will break,"A conditional block was opened and never closed, so a section may vanish or render raw depending on the sending engine.",Firing on a block closed by a variant spelling we do not recognise. The creator sees a correct email being called broken.,15,Widen the recognised closing forms.
link.broken,engine (arithmetic),will break,A link returns an error. Anyone who clicks reaches a dead end and the email cannot be recalled to fix it.,"Firing on a site that blocks automated requests, is briefly down, or sits behind a login. The link is fine and we called it dead - the fastest way to lose a creator's trust in every other finding.",15,Treat request-blocking responses as unknown rather than broken.
link.empty_href,engine (arithmetic),will break,"A button or link has no destination. Readers click it and nothing happens, which wastes the one action the email was asking for.","Firing on an anchor used purely for layout, or one the editor has not finished writing while the creator is mid-edit.",10,Ignore anchors with no visible text.
contrast.aa_fail,engine (arithmetic),will embarrass you,"Body copy a reader has to work to read - on a phone, in sunlight, at the end of the day. The creator chose a colour without seeing it in those conditions.","Firing on decorative or intentionally quiet text: a caption, a legal line, a watermark. Technically below the threshold, deliberately so, and telling the creator their design is broken when it is not.",20,Exempt small print by role before loosening the ratio.
contrast.aaa_fail,engine (arithmetic),could be better,"A quiet note that a design already clearing the readable bar could go further. Never blocks, never insists.",Appearing often enough to feel like nagging. This check earns its place only while creators ignore it without irritation.,5,Stop reporting it at all if it accounts for most ignores.
darkmode.no_bg_override,engine (arithmetic),will embarrass you,"Text pinned to a colour with nothing painting behind it, so a client forcing dark mode renders it invisible. Roughly half the audience sees a blank space and the creator never finds out.","Firing on text that would survive the repaint anyway, or on a template whose background is set somewhere we did not look. A creator seeing a correct email flagged learns to skip the whole panel.",25,Widen where we look for a painted surface before changing tier.
darkmode.unsafe_override,engine (arithmetic),will embarrass you,"A dark-mode rule recolours text without recolouring what it sits on, so the creator's own dark styling produces unreadable output.",Firing where the surface is painted by a rule we did not resolve. Same cost as above and harder to explain.,25,Improve surface resolution inside media rules.
img.missing_alt,engine (arithmetic),will embarrass you,"An image carrying meaning has no description, so it is silent to anyone using a screen reader and a blank gap wherever images are blocked - which is most inboxes, by default.","Firing on spacers, dividers and tracking pixels. Nothing is lost when those are silent, and asking a creator to describe a one-pixel image makes the whole check look mechanical.",15,Exclude images below a size threshold and known spacer patterns.
img.filename_alt,engine (arithmetic),will embarrass you,"The description is the filename, which tells a reader nothing and usually means it was filled in automatically.",Firing on a description that legitimately resembles a filename.,15,Require stronger filename evidence.
link.bare_url,engine (arithmetic),could be better,"An address written out but not clickable, so readers have to copy it by hand.",Firing where the address is shown deliberately - a domain the creator is naming rather than linking.,10,Skip addresses inside quotes or code.
link.vague_text,engine (arithmetic),could be better,"Link text carrying none of the promise - 'click here' beside a sentence doing all the work. Costs the click, and reads as nothing to anyone moving link to link.",Firing on short link text that is clear in context. This is a judgment call and the check should stay advisory for exactly that reason.,15,Shrink the phrase list to the least defensible cases.
subject.too_long,engine (arithmetic),could be better,"The point of the subject line falls past where a phone truncates, so the part that earns the open is never seen.",Firing on a subject whose point lands early and simply runs long. The length is not the problem; where the meaning sits is.,15,"Judge where the meaning falls, not the character count."
preheader.missing,engine (arithmetic),could be better,"No preview text, so the inbox fills that space with whatever the email starts with - often an unsubscribe line.",Firing where the template supplies preview text somewhere we do not read it.,10,Detect template-supplied preview text.
spam.link_ratio,engine (arithmetic),will embarrass you,"Dense linking with little writing between, which filters read as promotional. The subscriber may never see the email at all.","Firing on a genuine link roundup, which is a legitimate and common newsletter format. The creator knows what they are doing.",25,Recognise roundup formats before adjusting the ratio.
deliverability.image_heavy,engine (arithmetic),will embarrass you,"Mostly pictures with almost no writing - a spam signature, and empty for anyone whose client blocks images.",Firing on a deliberately visual send from a creator whose whole format is imagery.,25,Account for alt text as copy before adjusting the threshold.
cta.buried,reviewer (model),will embarrass you,"The primary action sits below where a skimming reader stops, after copy they have to wade through. The offer is in the email; most of the list never sees it.","Firing on a long-form essay where the ask belongs at the end, or on a letter with no action in it at all. Both read as us not understanding what they write.",25,"Raise the fold estimate before touching the check. Most disputes are about where we think the fold is, not whether a buried CTA matters."
cta.weak_prominence,reviewer (model),could be better,"The main action does not read as something to press - buried in a sentence, styled like body copy, or competing with three other links of equal weight.","Firing on a deliberately quiet, text-first newsletter. A creator whose whole voice is understated is being told to shout.",25,"Retire it before recalibrating. Prominence is taste, and a taste check that creators disagree with has no defensible threshold to move to."
spam.trigger_phrase,reviewer (model),could be better,"Phrasing filters are known to weight, in a send that gained nothing from it - an unnecessary risk on mail that cannot be recalled.","Firing on the creator's actual subject matter. A newsletter about discounts will say 'free', and flagging that is us mistaking their topic for a defect.",20,"Weight the phrase against the topic before dropping it. This check should read the send, not a word list."
copy.cognitive_friction,reviewer (model),could be better,"A reader has to work to find what they are being asked to do - the ask is buried in qualification, or three asks compete in one paragraph.","Firing on style. Long sentences, digression and a slow build are choices, and flagging them is the closest this product ever comes to editing someone's voice.",30,"Retire it. Of every check here this is the one most likely to be us having an opinion about writing, which is not what we are for."
